Date,Timestamp,Open,High,Low,Close,Volume
20190417,23:00:00,1.33492,1.33504,1.33466,1.33502,1126.23999834061
20190418,00:00:00,1.33502,1.33551,1.33495,1.3351,2059.02000033855
20190418,01:00:00,1.33511,1.33589,1.3344,1.33549,4469.49001085758
20190418,02:00:00,1.33549,1.33559,1.33498,1.33508,2560.57001078129
20190418,03:00:00,1.33507,1.33594,1.335,1.33559,2580.40000760555
20190418,04:00:00,1.33559,1.33559,1.3353,1.33547,1790.37000787258
20190418,05:00:00,1.33548,1.33548,1.33505,1.33517,2153.24000144005
20190418,06:00:00,1.33517,1.33597,1.33497,1.3353,4520.03001344204
20190418,07:00:00,1.33531,1.33665,1.33493,1.33613,8485.36002862453
20190418,08:00:00,1.33611,1.3371,1.33583,1.33664,8652.860024333
20190418,09:00:00,1.33664,1.33771,1.33654,1.33771,6113.43000507355
20190418,10:00:00,1.3377,1.33771,1.33672,1.33708,5630.92002010345
20190418,11:00:00,1.33708,1.33809,1.33701,1.33797,5692.09001839161
20190418,12:00:00,1.33797,1.33994,1.33726,1.33814,11338.7900161743
20190418,13:00:00,1.33814,1.33887,1.33756,1.33869,11458.7500113249
20190418,14:00:00,1.33865,1.33889,1.3369,1.3371,11947.5899767876
20190418,15:00:00,1.33707,1.33778,1.33645,1.33737,8789.81999444962
20190418,16:00:00,1.33738,1.33873,1.33708,1.33872,6397.66000139713
20190418,17:00:00,1.33872,1.3388,1.338,1.33835,5022.20999729633
20190418,18:00:00,1.33835,1.33894,1.33826,1.3386,4706.77999901772
20190418,19:00:00,1.33861,1.33882,1.33762,1.33791,4707.76000463963
20190418,20:00:00,1.33791,1.33887,1.33705,1.33705,3809.48999500275
20190418,21:00:00,1.33707,1.33831,1.33705,1.33817,1243.1099999249
20190418,22:00:00,1.33823,1.33846,1.33801,1.33805,3341.39000869542
20190418,23:00:00,1.33806,1.33851,1.33715,1.33746,2882.73000013828
20190419,00:00:00,1.33744,1.33796,1.33671,1.33722,2516.89000840485
20190419,01:00:00,1.33721,1.33755,1.33659,1.3368,3012.31001523137
20190419,02:00:00,1.33681,1.33703,1.33677,1.33691,1219.95001685619
20190419,03:00:00,1.33692,1.33696,1.33661,1.33676,1679.16999435425
20190419,04:00:00,1.33676,1.3371,1.33665,1.33681,2441.8799996376
20190419,05:00:00,1.33681,1.33695,1.33669,1.33681,2857.75998544693
20190419,06:00:00,1.33681,1.3372,1.33649,1.33686,3514.43000423908
20190419,07:00:00,1.33686,1.33739,1.33684,1.33698,1633.39000141621
20190419,08:00:00,1.33699,1.33741,1.33681,1.33724,2464.39999818802
20190419,09:00:00,1.33724,1.33729,1.33706,1.33716,4518.98999810219
20190419,10:00:00,1.33716,1.3374,1.33681,1.33708,5945.80999493599
20190419,11:00:00,1.33708,1.33717,1.33698,1.33699,2898.69998967648
20190419,12:00:00,1.337,1.33748,1.33697,1.33726,5545.1000071764
20190419,13:00:00,1.33723,1.33779,1.33717,1.33748,2973.69999280572
20190419,14:00:00,1.33749,1.33889,1.33743,1.33862,5404.34999549389
20190419,15:00:00,1.33861,1.33915,1.33861,1.33886,5817.39999675751
20190419,16:00:00,1.33892,1.33897,1.33869,1.3388,2872.87999951839
20190419,17:00:00,1.3388,1.33913,1.33869,1.33896,4214.10000133514
20190419,18:00:00,1.33896,1.33908,1.33832,1.33857,3954.59000074863
20190419,19:00:00,1.33857,1.33904,1.33821,1.33869,4396.81000065804
